delta,sector,median_hs,mean_hs,std_hs,n_valid,valid_pct,neg_pct,amsr2_bias_median,amsr2_bias_mean,amsr2_rmsd,amsr2_r,amsr2_p
0.5,Weddell,0.2632398137664978,0.3571854969810608,0.3260907167833836,42447,88.92217450508014,11.07782549491987,0.02017054285346935,0.04706344635587817,0.41744108319251527,0.10321401660157008,7.827070546744085e-101
0.5,Ross,0.2185612130639652,0.3036088725632797,0.29348522129139115,30460,88.019418597931,11.980581402069005,0.020751729927841432,0.02690062067980307,0.43588605254739715,0.01929606923755905,0.0007623664499072822
0.55,Weddell,0.23930892160590705,0.3247140881646006,0.2964461061667123,42447,88.92217450508014,11.07782549491987,-0.0016079587428711323,0.0145944346413646,0.3944470536547662,0.10321401660157008,7.827070546744085e-101
0.55,Ross,0.19869201187633195,0.27600806596661787,0.26680474662853737,30460,88.019418597931,11.980581402069005,0.003049595339485789,-0.0007049103682897622,0.417919086800023,0.019296069237559037,0.0007623664499072822
0.6,Weddell,0.21936651147208144,0.29765458081755064,0.2717422639861529,42447,88.92217450508014,11.07782549491987,-0.01947156764471581,-0.012463075120730034,0.37813300472946443,0.10321401660157009,7.827070546744085e-101
0.6,Ross,0.18213434421997093,0.253007393802733,0.24457101774282589,30460,88.019418597931,11.980581402069005,-0.011761613821874954,-0.023709519575033786,0.40512338721765045,0.019296069237559048,0.0007623664499072822
0.65,Weddell,0.20249216443576748,0.2747580746008159,0.25083901291029503,42447,88.92217450508014,11.07782549491987,-0.03446055177219094,-0.03535789107327165,0.3666288301933101,0.10321401660157006,7.827070546744085e-101
0.65,Ross,0.16812401004920394,0.23354528658713816,0.22575786253183927,30460,88.019418597931,11.980581402069005,-0.02381941424447375,-0.043174958134586425,0.3959961411495978,0.01929606923755905,0.0007623664499072822
0.7,Weddell,0.1880284384046412,0.25513249784361475,0.23292194055955961,42447,88.92217450508014,11.07782549491987,-0.04704324186650513,-0.054982019032593026,0.3586122514477505,0.10321401660157006,7.827070546744085e-101
0.7,Ross,0.1561151521885465,0.21686348040234255,0.20963230092242216,30460,88.019418597931,11.980581402069005,-0.033801585095167,-0.05985961975706011,0.3895025622358407,0.019296069237559048,0.0007623664499072822
0.75,Weddell,0.17549320917766512,0.23812366465404045,0.21739381118892231,42447,88.92217450508014,11.07782549491987,-0.05790538523860368,-0.07198959659733821,0.353137849611164,0.10321401660157008,7.827070546744085e-101
0.75,Ross,0.14570747537597672,0.2024059150421864,0.19565681419426068,30460,88.019418597931,11.980581402069005,-0.042734079188938845,-0.07431965982987063,0.3849192250570617,0.019296069237559044,0.0007623664499072822
0.8,Weddell,0.16452488360406103,0.22324093561316294,0.20380669798961465,42447,88.92217450508014,11.07782549491987,-0.06728567413703256,-0.08687122696649026,0.34952415779176543,0.10321401660157006,7.827070546744085e-101
0.8,Ross,0.1366007581649782,0.1897555453520497,0.1834282633071194,30460,88.019418597931,11.980581402069005,-0.05025559691764654,-0.08697219489357985,0.38173372739498995,0.01929606923755905,0.0007623664499072822
0.85,Weddell,0.1548469492744104,0.21010911587121212,0.19181806869610787,42447,88.92217450508014,11.07782549491987,-0.07535072939091572,-0.10000207729221267,0.3472766985862861,0.10321401660157008,7.827070546744085e-101
0.85,Ross,0.12856541944939123,0.17859345444898797,0.1726383654655241,30460,88.019418597931,11.980581402069005,-0.05701568562256336,-0.09813619642038209,0.37957886905932486,0.019296069237559044,0.0007623664499072822
0.9,Weddell,0.14624434098138758,0.19843638721170034,0.18116150932410188,42447,88.92217450508014,11.07782549491987,-0.08284560844978416,-0.11167394424841032,0.3460345194715106,0.10321401660157006,7.827070546744085e-101
0.9,Ross,0.12142289614664727,0.16867159586848862,0.16304734516188388,30460,88.019418597931,11.980581402069005,-0.06288925768139404,-0.10805975333309517,0.37818868137274514,0.019296069237559048,0.0007623664499072822
0.95,Weddell,0.13854727040341983,0.1879923668321372,0.17162669304388603,42447,88.92217450508014,11.07782549491987,-0.0893486229507975,-0.12211719363027142,0.34553263095686837,0.10321401660157008,7.827070546744085e-101
0.95,Ross,0.11503221740208688,0.15979414345435763,0.15446590594283738,30460,88.019418597931,11.980581402069005,-0.0679073841962831,-0.11693872530762796,0.37736861572233704,0.019296069237559048,0.0007623664499072822
1.0,Weddell,0.13161990688324882,0.17859274849053028,0.1630453583916917,42447,88.92217450508014,11.07782549491987,-0.09519969217104522,-0.1315161180739464,0.34557542248217277,0.10321401660157006,7.827070546744085e-101
1.0,Ross,0.10928060653198253,0.15180443628163975,0.1467426106456955,30460,88.019418597931,11.980581402069005,-0.07272940898114758,-0.12492980008470746,0.3769750703280416,0.019296069237559037,0.0007623664499072822
